Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
99,Hunter Henry,NWE,29,TE,14,10,61,42,419,6,29,341,8.1,78,1.9,8.8,1,42.0,3,4.9,2,107.2,HenrHu00
100,Tee Higgins,CIN,24,WR,12,11,76,42,656,5,33,421,10.0,235,5.6,12.8,0,,7,9.2,1,100.5,HiggTe00
101,Saquon Barkley,NYG,26,RB,14,14,60,41,280,4,16,54,1.3,226,5.5,2.5,3,13.7,5,8.3,3,79.9,BarkSa00
102,Rondale Moore,ARI,23,WR,17,8,62,40,352,1,17,136,3.4,216,5.4,5.2,2,20.0,3,4.8,0,84.9,MoorRo02
103,Josh Reynolds,DET,28,WR,17,13,64,40,608,5,32,435,10.9,173,4.3,10.1,2,20.0,4,6.3,1,113.3,ReynJo00
104,Robert Woods,HOU,31,WR,14,11,75,40,426,1,26,300,7.5,126,3.2,9.8,1,40.0,4,5.3,1,69.1,WoodRo02
105,Tutu Atwell,LAR,24,WR,16,14,67,39,483,3,26,379,9.7,104,2.7,11.4,0,,4,6.0,2,83.1,AtweTu00
106,Chuba Hubbard,CAR,24,RB,17,12,44,39,233,0,9,-36,-0.9,269,6.9,-0.8,5,7.8,1,2.3,1,79.3,HubbCh01
107,Tanner Hudson,CIN,29,TE,12,1,50,39,352,1,21,204,5.2,148,3.8,5.4,2,19.5,1,2.0,1,94.3,HudsTa00
108,Trey Palmer,TAM,22,WR,17,8,68,39,385,3,17,282,7.2,103,2.6,10.9,0,,4,5.9,1,82.0,PalmTr00
109,Khalil Shakir,BUF,23,WR,17,10,45,39,611,2,26,329,8.4,282,7.2,8.9,0,,0,0.0,0,133.6,ShakKh00
110,D'Andre Swift*,PHI,24,RB,16,15,49,39,214,1,8,-53,-1.4,267,6.8,0.6,2,19.5,1,2.0,1,83.2,SwifDA00
111,Michael Thomas,NOR,30,WR,10,7,64,39,448,1,21,348,8.9,100,2.6,10.2,2,19.5,3,4.7,1,80.7,ThomMi05
112,Dontayvion Wicks,GNB,22,WR,15,6,58,39,581,4,29,371,9.5,210,5.4,10.1,5,7.8,3,5.2,1,115.7,WickDo00
113,Quentin Johnston,LAC,22,WR,17,10,67,38,431,2,20,279,7.3,152,4.0,12.9,2,19.0,3,4.5,1,79.9,JohnQu02
114,Josh Palmer,LAC,24,WR,10,6,61,38,581,2,22,385,10.1,196,5.2,11.4,1,38.0,3,4.9,1,97.8,PalmJo00
115,Rhamondre Stevenson,NWE,25,RB,12,12,51,38,238,0,8,-23,-0.6,261,6.9,0.3,4,9.5,4,7.8,1,75.4,StevRh00
116,Michael Wilson,ARI,23,WR,13,12,58,38,565,3,29,426,11.2,139,3.7,12.3,3,12.7,0,0.0,2,100.1,WilsMi02
117,Kendrick Bourne,NWE,28,WR,8,5,55,37,406,4,15,203,5.5,203,5.5,10.4,2,18.5,1,1.8,3,90.4,BourKe00
118,Josh Jacobs,LVR,25,RB,13,13,54,37,296,0,15,3,0.1,293,7.9,0.7,3,12.3,5,9.3,2,66.6,JacoJo01
119,Juwan Johnson,NOR,27,TE,13,11,59,37,368,4,23,223,6.0,145,3.9,7.4,3,12.3,3,5.1,4,74.7,JohnJu02
120,Brian Robinson Jr.,WAS,24,RB,15,15,43,36,368,4,15,-43,-1.2,411,11.4,-1.3,6,6.0,3,7.0,0,133.3,RobiBr01
121,Nelson Agholor,BAL,30,WR,17,3,45,35,381,4,19,240,6.9,141,4.0,9.3,2,17.5,2,4.4,1,122.3,AghoNe00
122,Odell Beckham Jr.,BAL,31,WR,14,6,64,35,565,3,27,410,11.7,155,4.4,13.9,0,,3,4.7,1,93.6,BeckOd00
123,DJ Chark,CAR,27,WR,15,11,66,35,525,5,22,441,12.6,84,2.4,15.4,1,35.0,4,6.1,0,104.7,CharDJ00
124,Kalif Raymond,DET,29,WR,17,3,44,35,489,1,20,275,7.9,214,6.1,8.8,1,35.0,2,4.5,0,120.5,RaymKa00
125,Durham Smythe,MIA,28,TE,16,14,43,35,366,0,22,227,6.5,139,4.0,6.6,0,,1,2.3,0,102.1,SmytDu00
126,Michael Gallup,DAL,27,WR,17,13,57,34,418,2,19,314,9.2,104,3.1,10.9,3,11.3,5,8.8,2,79.4,GallMi00
127,Roschon Johnson,CHI,22,RB,15,0,40,34,209,0,6,-38,-1.1,247,7.3,-0.8,6,5.7,1,2.5,0,88.4,JohnRo07
128,Zay Jones,JAX,28,WR,9,7,64,34,321,2,14,270,7.9,51,1.5,13.6,0,,1,1.6,2,64.6,JoneZa00
129,Luke Musgrave,GNB,23,TE,11,9,46,34,352,1,14,183,5.4,169,5.0,7.5,0,,3,6.5,0,102.8,MusgLu00
130,Allen Robinson,PIT,30,WR,17,17,49,34,280,0,9,212,6.2,68,2.0,7.6,0,,0,0.0,1,75.2,RobiAl02
131,Noah Brown,HOU,27,WR,10,7,55,33,567,2,24,344,10.4,223,6.8,12.0,1,33.0,3,5.5,0,107.2,BrowNo00
132,Zach Charbonnet,SEA,22,RB,16,2,40,33,209,0,7,-39,-1.2,248,7.5,-1.0,2,16.5,2,5.0,0,88.4,CharZa00
133,Taysom Hill,NOR,33,QB,16,7,40,33,291,2,11,158,4.8,133,4.0,5.2,3,11.0,1,2.5,0,113.6,HillTa00
134,DeVante Parker,NWE,30,WR,13,13,55,33,394,0,17,268,8.1,126,3.8,11.6,2,16.5,3,5.5,2,66.8,ParkDe01
135,Rashod Bateman,BAL,24,WR,16,12,56,32,367,1,20,308,9.6,59,1.8,14.5,1,32.0,4,7.1,3,60.6,BateRa00
136,Noah Fant,SEA,26,TE,17,17,43,32,414,0,16,237,7.4,177,5.5,6.9,1,32.0,1,2.3,1,94.5,FantNo00
137,Pat Freiermuth,PIT,25,TE,12,9,47,32,308,2,17,163,5.1,145,4.5,6.6,2,16.0,0,0.0,1,91.4,FreiPa00
138,Alec Pierce,IND,23,WR,17,16,65,32,514,2,24,417,13.0,97,3.0,14.9,1,32.0,3,4.6,1,79.9,PierAl00
139,Kyren Williams*,LAR,23,RB,12,11,48,32,206,3,9,-69,-2.2,275,8.6,0.2,1,32.0,4,8.3,1,87.7,WillKy02
140,Tucker Kraft,GNB,23,TE,17,8,40,31,355,2,18,123,4.0,232,7.5,3.9,4,7.8,0,0.0,0,120.3,KrafTu00
141,Jaleel McLaughlin,DEN,23,RB,17,3,36,31,160,2,5,-130,-4.2,290,9.4,-3.9,8,3.9,2,5.6,0,103.7,McLaJa00
142,Darnell Mooney,CHI,26,WR,15,14,61,31,414,1,20,233,7.5,181,5.8,10.3,1,31.0,3,4.9,3,57.7,MoonDa00
143,Kenneth Gainwell,PHI,24,RB,16,2,37,30,183,0,11,8,0.3,175,5.8,1.9,2,15.0,1,2.7,0,87.3,GainKe00
144,Kylen Granson,IND,25,TE,15,7,50,30,368,1,19,240,8.0,128,4.3,8.0,0,,3,6.0,0,89.4,GranKy00
145,Aaron Jones,GNB,29,RB,11,11,43,30,233,1,13,-38,-1.3,271,9.0,-1.1,6,5.0,4,9.3,0,90.6,JoneAa00
146,Isaiah Likely,BAL,23,TE,17,8,40,30,411,5,15,195,6.5,216,7.2,6.2,6,5.0,3,7.5,0,147.0,LikeIs00
147,Alexander Mattison,MIN,25,RB,16,13,44,30,192,3,5,11,0.4,181,6.0,0.5,1,30.0,7,15.9,0,99.8,MattAl01
148,Devin Singletary,HOU,26,RB,17,10,38,30,193,0,7,-24,-0.8,217,7.2,0.3,2,15.0,2,5.3,0,87.8,SingDe00
149,Mike Gesicki,NWE,28,TE,17,10,45,29,244,2,11,148,5.1,96,3.3,8.3,0,,0,0.0,2,74.7,GesiMi00
150,Najee Harris,PIT,25,RB,17,17,38,29,170,0,9,-5,-0.2,175,6.0,0.2,6,4.8,2,5.3,0,84.3,HarrNa00
151,Brandon Powell,MIN,28,WR,17,2,44,29,324,1,18,220,7.6,104,3.6,7.5,1,29.0,1,2.3,1,85.8,PoweBr00
152,JuJu Smith-Schuster,NWE,27,WR,11,7,47,29,260,1,13,166,5.7,94,3.2,7.0,0,,2,4.3,4,48.2,SmitJu00
153,Kenneth Walker III,SEA,23,RB,15,15,37,29,259,1,9,-58,-2.0,317,10.9,-2.1,9,3.2,2,5.4,0,104.8,WalkKe00
154,Noah Gray,KAN,24,TE,17,10,41,28,305,2,16,172,6.1,133,4.8,6.6,4,7.0,1,2.4,1,96.1,GrayNo00
155,Derrick Henry*,TEN,29,RB,17,17,36,28,214,0,7,-61,-2.2,275,9.8,-2.8,1,28.0,1,2.8,0,91.4,HenrDe00
156,Justice Hill,BAL,26,RB,16,5,39,28,206,1,8,-31,-1.1,237,8.5,0.6,4,7.0,2,5.1,0,92.5,HillJu00
157,Christian Watson,GNB,24,WR,9,9,53,28,422,5,20,317,11.3,105,3.8,15.6,0,,3,5.7,5,71.4,WatsCh00
158,Nick Westbrook-Ikhine,TEN,26,WR,14,9,45,28,370,3,18,263,9.4,107,3.8,12.3,1,28.0,4,8.9,0,110.4,WestNi00
159,De'Von Achane,MIA,22,RB,11,4,37,27,197,3,10,-65,-2.4,262,9.7,0.7,3,9.0,0,0.0,0,112.1,AchaDe00
160,Braxton Berrios,MIA,28,WR,16,1,33,27,238,1,15,153,5.7,85,3.1,7.1,1,27.0,1,3.0,2,81.6,BerrBr00
161,James Conner,ARI,28,RB,13,13,33,27,165,2,11,-46,-1.7,211,7.8,-0.4,5,5.4,0,0.0,0,107.7,ConnJa00
162,Zach Ertz,ARI,33,TE,7,7,43,27,187,1,8,141,5.2,46,1.7,7.7,0,,2,4.7,2,60.9,ErtzZa00
163,Michael Mayer,LVR,22,TE,14,12,40,27,304,2,19,140,5.2,164,6.1,5.7,3,9.0,1,2.5,1,96.2,MayeMi00
164,Zack Moss,IND,26,RB,14,8,37,27,192,2,10,3,0.1,189,7.0,-0.5,2,13.5,5,13.5,1,91.3,MossZa00
165,Donald Parham,LAC,26,TE,14,8,41,27,285,4,22,159,5.9,126,4.7,7.5,1,27.0,3,7.3,1,108.3,ParhDo00
166,Miles Sanders,CAR,26,RB,16,5,41,27,154,0,8,-4,-0.1,158,5.9,0.6,4,6.8,4,9.8,1,62.4,SandMi01
167,Kadarius Toney,KAN,24,WR,13,2,38,27,169,1,12,41,1.5,128,4.7,2.9,5,5.4,5,13.2,2,66.7,ToneKa00
168,Justin Watson,KAN,28,WR,16,8,53,27,460,3,21,413,15.3,47,1.7,17.5,0,,4,7.5,3,76.0,WatsJu01
169,Demarcus Robinson,LAR,29,WR,16,4,39,26,371,4,20,282,10.8,89,3.4,12.3,0,,0,0.0,1,120.8,RobiDe01
170,Daniel Bellinger,NYG,23,TE,17,13,28,25,255,0,6,121,4.8,134,5.4,4.6,2,12.5,1,3.6,0,104.6,BellDa00
171,Austin Hooper,LVR,29,TE,17,9,31,25,234,0,12,92,3.7,142,5.7,4.2,2,12.5,1,3.2,0,98.1,HoopAu00
172,Trenton Irwin,CIN,28,WR,16,5,32,25,316,1,15,206,8.2,110,4.4,10.5,0,,1,3.1,1,105.2,IrwiTr00
173,Jerick McKinnon,KAN,31,RB,12,0,32,25,192,4,10,-26,-1.0,218,8.7,0.3,1,25.0,3,9.4,0,131.2,McKiJe00
174,Raheem Mostert*,MIA,31,RB,15,15,32,25,175,3,6,-38,-1.5,213,8.5,-0.6,6,4.2,1,3.1,1,107.7,MostRa00
175,Colby Parkinson,SEA,24,TE,17,1,34,25,247,2,11,161,6.4,86,3.4,6.5,1,25.0,2,5.9,0,113.2,ParkCo02
176,Hunter Renfrow,LVR,28,WR,17,3,37,25,255,0,11,103,4.1,152,6.1,5.6,2,12.5,1,2.7,0,87.1,RenfHu00
177,Michael Carter,2TM,24,RB,15,0,31,24,101,1,5,14,0.6,87,3.6,1.1,2,12.0,2,6.5,1,77.5,CartMi03
178,Greg Dortch,ARI,25,WR,16,4,41,24,280,2,14,128,5.3,152,6.3,9.5,1,24.0,0,0.0,0,95.6,DortGr01
179,Jameson Williams,DET,22,WR,12,10,42,24,354,2,14,249,10.4,105,4.4,15.8,5,4.8,4,9.5,2,80.9,WillJa11
180,Connor Heyward,PIT,24,TE,17,7,34,23,167,0,8,73,3.2,94,4.1,5.1,1,23.0,2,5.9,1,66.7,HeywCo00
181,Jalin Hyatt,NYG,22,WR,17,7,40,23,373,0,11,325,14.1,48,2.1,21.0,1,23.0,3,7.5,2,68.0,HyatJa00
182,Allen Lazard,NYJ,28,WR,14,12,49,23,311,1,17,255,11.1,56,2.4,12.2,1,23.0,4,8.2,1,65.9,LazaAl00
183,Tommy Tremble,CAR,23,TE,16,8,32,23,194,3,10,99,4.3,95,4.1,6.4,3,7.7,0,0.0,1,105.5,TremTo00
184,AJ Dillon,GNB,25,RB,15,6,28,22,223,0,10,-8,-0.4,231,10.5,0.0,8,2.8,1,3.6,0,99.9,DillAJ00
185,Dawson Knox,BUF,27,TE,12,11,36,22,186,2,13,90,4.1,96,4.4,7.0,1,22.0,4,11.1,2,69.9,KnoxDa00
186,Marvin Mims*,DEN,21,WR,16,7,33,22,377,1,9,223,10.1,154,7.0,15.1,1,22.0,1,3.0,1,102.7,MimsMa00
187,Chris Moore,TEN,30,WR,17,5,35,22,424,0,16,367,16.7,57,2.6,18.3,1,22.0,2,5.7,1,93.0,MoorCh00
188,Josh Oliver,MIN,26,TE,17,14,28,22,213,2,12,51,2.3,162,7.4,2.6,1,22.0,0,0.0,0,122.2,OlivJo00
189,Drew Sample,CIN,27,TE,17,10,27,22,163,2,9,-10,-0.5,173,7.9,1.1,1,22.0,1,3.7,1,101.1,SampDr00
190,Jalen Tolbert,DAL,24,WR,17,6,36,22,268,2,13,234,10.6,34,1.5,13.2,1,22.0,1,2.8,1,91.0,TolbJa00
191,Adam Trautman,DEN,26,TE,17,12,35,22,204,3,10,106,4.8,98,4.5,6.5,2,11.0,0,0.0,1,95.4,TrauAd00
192,Cedrick Wilson Jr.,MIA,28,WR,15,3,38,22,296,3,14,239,10.9,57,2.6,11.3,0,,1,2.6,1,98.1,WilsCe01
193,Ty Chandler,MIN,25,RB,17,4,25,21,159,0,7,-42,-2.0,201,9.6,-1.7,3,7.0,0,0.0,0,93.2,ChanTy01
194,Emari Demercado,ARI,24,RB,14,2,30,21,119,0,4,10,0.5,109,5.2,0.9,0,,3,10.0,0,76.9,DemeEm00
195,Xavier Gipson,NYJ,22,WR,17,3,38,21,229,0,9,120,5.7,109,5.2,9.4,3,7.0,1,2.6,1,62.3,GipsXa00
196,Isaiah Hodgins,NYG,25,WR,17,9,33,21,230,3,12,155,7.4,75,3.6,8.0,1,21.0,0,0.0,0,114.5,HodgIs00
197,Skyy Moore,KAN,23,WR,14,8,38,21,244,1,13,135,6.4,109,5.2,8.9,0,,1,2.6,3,50.8,MoorSk01
198,Foster Moreau,NOR,26,TE,15,10,25,21,193,1,9,97,4.6,96,4.6,4.9,1,21.0,1,4.0,0,112.2,MoreFo00
199,Cedric Tillman,CLE,23,WR,14,3,44,21,224,0,12,136,6.5,88,4.2,10.6,2,10.5,1,2.3,5,23.5,TillCe01
200,Marquez Valdes-Scantling,KAN,29,WR,16,10,42,21,315,1,14,223,10.6,92,4.4,17.7,1,21.0,3,7.1,1,73.0,ValdMa00