Player,Opp,FGM,FGA,FG0_19,FG20_29,FG30_39,FG40_49,FG50,XPM,XPA,Points,Made,0-19,20-29,30-39,40-49,50+,Week,Name,_position,_team
Jason SandersK - MIA,@PIT,2.03,0.0,0.39,0.45,0.45,0.23,7.05,,,,,,,,,,15,Jason Sanders,K,MIA
Chad RylandK - ARI,@HOU,1.91,0.0,0.34,0.45,0.45,0.28,7.03,,,,,,,,,,15,Chad Ryland,K,ARI
Cairo SantosK - CHI,CLE,1.74,0.0,0.39,0.45,0.51,0.23,6.94,,,,,,,,,,15,Cairo Santos,K,CHI
Jason MyersK - SEA,IND,1.86,0.0,0.39,0.45,0.45,0.23,6.88,,,,,,,,,,15,Jason Myers,K,SEA
Blake GrupeK - NO,CAR,1.74,0.0,0.34,0.45,0.39,0.28,6.68,,,,,,,,,,15,Blake Grupe,K,NO
Blake GrupeK - NO,CAR,1.74,0.0,0.34,0.45,0.39,0.28,6.68,,,,,,,,,,15,Blake Grupe,K,NO
Spencer ShraderK - INDView News,@SEA,1.86,0.0,0.28,0.51,0.51,0.17,6.61,,,,,,,,,,15,Spencer Shrader,K,IND
Matthew WrightK - CAR,@NO,1.8,0.0,0.34,0.51,0.45,0.17,6.55,,,,,,,,,,15,Matthew Wright,K,CAR
Andy BorregalesK - NE,BUF,1.97,0.0,0.34,0.45,0.45,0.17,6.54,,,,,,,,,,15,Andy Borregales,K,NE
Joey SlyeK - TEN,@SF,1.63,0.0,0.34,0.39,0.39,0.28,6.39,,,,,,,,,,15,Joey Slye,K,TEN
Graham GanoK - NYG,WAS,1.63,0.0,0.34,0.45,0.39,0.23,6.32,,,,,,,,,,15,Graham Gano,K,NYG
Dustin HopkinsK - CLEView News,@CHI,1.52,0.0,0.34,0.45,0.39,0.23,6.21,,,,,,,,,,15,Dustin Hopkins,K,CLE
John Parker RomoK - NE,BUF,0.47,0.0,0.07,0.13,0.07,0.07,1.63,,,,,,,,,,15,John Parker Romo,K,NE
Ryan FitzgeraldK - CAR,@NO,0.2,0.0,0.05,0.05,0.05,0.05,0.9,,,,,,,,,,15,Ryan Fitzgerald,K,CAR
Caden DavisK - BUF,@NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Caden Davis,K,BUF
Nick FolkK - NYJ,@JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Nick Folk,K,NYJ
Jude McAtamneyK - NYG,WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Jude McAtamney,K,NYG
Harrison MevisK - NYJ,@JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Harrison Mevis,K,NYJ
Ben SaulsK - PIT,MIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Ben Sauls,K,PIT
Charlie SmythK - NO,CAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Charlie Smyth,K,NO
Anders CarlsonK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Anders Carlson,K,
Ryan CoeK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Ryan Coe,K,
Zane GonzalezK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Zane Gonzalez,K,
Alex HaleK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Alex Hale,K,
John HoylandK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,John Hoyland,K,
Greg JosephK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Greg Joseph,K,
Jonathan KimK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Jonathan Kim,K,
Lenny KriegK - ATL,@TB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Lenny Krieg,K,ATL
Mark McNameeK - GB,@DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Mark McNamee,K,GB
Riley PattersonK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,15,Riley Patterson,K,
Brandon AubreyK - DAL,LAC,2.14,0.0,0.39,0.45,0.51,0.51,8.74,,,,,,,,,,16,Brandon Aubrey,K,DAL
Cameron DickerK - LAC,@DAL,2.19,0.06,0.34,0.51,0.51,0.34,8.15,,,,,,,,,,16,Cameron Dicker,K,LAC
Jake BatesK - DET,PIT,2.64,0.0,0.28,0.45,0.45,0.34,7.88,,,,,,,,,,16,Jake Bates,K,DET
Harrison ButkerK - KC,@TEN,2.42,0.06,0.34,0.45,0.39,0.34,7.84,,,,,,,,,,16,Harrison Butker,K,KC
Ka'imi FairbairnK - HOU,LV,2.08,0.0,0.39,0.51,0.45,0.34,7.83,,,,,,,,,,16,Ka'imi Fairbairn,K,HOU
Chase McLaughlinK - TB,@CAR,2.36,0.0,0.34,0.45,0.45,0.34,7.78,,,,,,,,,,16,Chase McLaughlin,K,TB
Chris BoswellK - PIT,@DET,1.91,0.0,0.39,0.51,0.45,0.34,7.66,,,,,,,,,,16,Chris Boswell,K,PIT
Tyler LoopK - BALView News,NE,2.53,0.0,0.28,0.51,0.51,0.23,7.58,,,,,,,,,,16,Tyler Loop,K,BAL
Tyler BassK - BUFQ,@CLE,2.7,0.0,0.34,0.45,0.45,0.23,7.57,,,,,,,,,,16,Tyler Bass,K,BUFQ
Matt GayK - WAS,PHI,2.48,0.0,0.39,0.45,0.39,0.28,7.57,,,,,,,,,,16,Matt Gay,K,WAS
Daniel CarlsonK - LV,@HOU,1.91,0.0,0.39,0.39,0.45,0.39,7.55,,,,,,,,,,16,Daniel Carlson,K,LV
Evan McPhersonK - CIN,@MIA,2.42,0.0,0.34,0.45,0.45,0.28,7.54,,,,,,,,,,16,Evan McPherson,K,CIN
Will ReichardK - MIN,@NYG,2.08,0.0,0.34,0.45,0.45,0.34,7.5,,,,,,,,,,16,Will Reichard,K,MIN
Wil LutzK - DEN,JAX,2.03,0.0,0.39,0.45,0.39,0.34,7.42,,,,,,,,,,16,Wil Lutz,K,DEN
Jake ElliottK - PHI,@WAS,2.36,0.0,0.39,0.45,0.45,0.23,7.38,,,,,,,,,,16,Jake Elliott,K,PHI
Brandon McManusK - GB,@CHI,2.03,0.0,0.39,0.45,0.45,0.28,7.3,,,,,,,,,,16,Brandon McManus,K,GB
Younghoe KooK - ATL,@ARI,1.86,0.0,0.34,0.45,0.45,0.34,7.28,,,,,,,,,,16,Younghoe Koo,K,ATL
Joshua KartyK - LAR,@SEA,1.91,0.0,0.39,0.45,0.45,0.28,7.18,,,,,,,,,,16,Joshua Karty,K,LAR
Cam LittleK - JAX,@DEN,2.08,0.0,0.39,0.45,0.39,0.28,7.17,,,,,,,,,,16,Cam Little,K,JAX
Jake MoodyK - SFView News,@IND,2.36,0.0,0.23,0.51,0.45,0.23,7.08,,,,,,,,,,16,Jake Moody,K,SF
Jason SandersK - MIA,CIN,2.03,0.0,0.39,0.45,0.45,0.23,7.05,,,,,,,,,,16,Jason Sanders,K,MIA
Chad RylandK - ARI,ATL,1.91,0.0,0.34,0.45,0.45,0.28,7.03,,,,,,,,,,16,Chad Ryland,K,ARI
Cairo SantosK - CHI,GB,1.74,0.0,0.39,0.45,0.51,0.23,6.94,,,,,,,,,,16,Cairo Santos,K,CHI
Jason MyersK - SEA,LAR,1.86,0.0,0.39,0.45,0.45,0.23,6.88,,,,,,,,,,16,Jason Myers,K,SEA
Blake GrupeK - NO,NYJ,1.74,0.0,0.34,0.45,0.39,0.28,6.68,,,,,,,,,,16,Blake Grupe,K,NO
Blake GrupeK - NO,NYJ,1.74,0.0,0.34,0.45,0.39,0.28,6.68,,,,,,,,,,16,Blake Grupe,K,NO
Spencer ShraderK - INDView News,SF,1.86,0.0,0.28,0.51,0.51,0.17,6.61,,,,,,,,,,16,Spencer Shrader,K,IND
Matthew WrightK - CAR,TB,1.8,0.0,0.34,0.51,0.45,0.17,6.55,,,,,,,,,,16,Matthew Wright,K,CAR
Andy BorregalesK - NE,@BAL,1.97,0.0,0.34,0.45,0.45,0.17,6.54,,,,,,,,,,16,Andy Borregales,K,NE
Joey SlyeK - TEN,KC,1.63,0.0,0.34,0.39,0.39,0.28,6.39,,,,,,,,,,16,Joey Slye,K,TEN
Graham GanoK - NYG,MIN,1.63,0.0,0.34,0.45,0.39,0.23,6.32,,,,,,,,,,16,Graham Gano,K,NYG
Dustin HopkinsK - CLEView News,BUF,1.52,0.0,0.34,0.45,0.39,0.23,6.21,,,,,,,,,,16,Dustin Hopkins,K,CLE
John Parker RomoK - NE,@BAL,0.47,0.0,0.07,0.13,0.07,0.07,1.63,,,,,,,,,,16,John Parker Romo,K,NE
Ryan FitzgeraldK - CAR,TB,0.2,0.0,0.05,0.05,0.05,0.05,0.9,,,,,,,,,,16,Ryan Fitzgerald,K,CAR
Caden DavisK - BUF,@CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Caden Davis,K,BUF
Nick FolkK - NYJ,@NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Nick Folk,K,NYJ
Jude McAtamneyK - NYG,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Jude McAtamney,K,NYG
Harrison MevisK - NYJ,@NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Harrison Mevis,K,NYJ
Ben SaulsK - PIT,@DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Ben Sauls,K,PIT
Charlie SmythK - NO,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Charlie Smyth,K,NO
Anders CarlsonK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Anders Carlson,K,
Ryan CoeK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Ryan Coe,K,
Zane GonzalezK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Zane Gonzalez,K,
Alex HaleK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Alex Hale,K,
John HoylandK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,John Hoyland,K,
Greg JosephK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Greg Joseph,K,
Jonathan KimK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Jonathan Kim,K,
Lenny KriegK - ATL,@ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Lenny Krieg,K,ATL
Mark McNameeK - GB,@CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Mark McNamee,K,GB
Riley PattersonK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,16,Riley Patterson,K,
Brandon AubreyK - DAL,@WAS,2.14,0.0,0.39,0.45,0.51,0.51,8.74,,,,,,,,,,17,Brandon Aubrey,K,DAL
Cameron DickerK - LAC,HOU,2.19,0.06,0.34,0.51,0.51,0.34,8.15,,,,,,,,,,17,Cameron Dicker,K,LAC
Jake BatesK - DET,@MIN,2.64,0.0,0.28,0.45,0.45,0.34,7.88,,,,,,,,,,17,Jake Bates,K,DET
Harrison ButkerK - KC,DEN,2.42,0.06,0.34,0.45,0.39,0.34,7.84,,,,,,,,,,17,Harrison Butker,K,KC
Ka'imi FairbairnK - HOU,@LAC,2.08,0.0,0.39,0.51,0.45,0.34,7.83,,,,,,,,,,17,Ka'imi Fairbairn,K,HOU
Chase McLaughlinK - TB,@MIA,2.36,0.0,0.34,0.45,0.45,0.34,7.78,,,,,,,,,,17,Chase McLaughlin,K,TB
Chris BoswellK - PIT,@CLE,1.91,0.0,0.39,0.51,0.45,0.34,7.66,,,,,,,,,,17,Chris Boswell,K,PIT
Tyler LoopK - BALView News,@GB,2.53,0.0,0.28,0.51,0.51,0.23,7.58,,,,,,,,,,17,Tyler Loop,K,BAL
Tyler BassK - BUFQ,PHI,2.7,0.0,0.34,0.45,0.45,0.23,7.57,,,,,,,,,,17,Tyler Bass,K,BUFQ
Matt GayK - WAS,DAL,2.48,0.0,0.39,0.45,0.39,0.28,7.57,,,,,,,,,,17,Matt Gay,K,WAS
Daniel CarlsonK - LV,NYG,1.91,0.0,0.39,0.39,0.45,0.39,7.55,,,,,,,,,,17,Daniel Carlson,K,LV
Evan McPhersonK - CIN,ARI,2.42,0.0,0.34,0.45,0.45,0.28,7.54,,,,,,,,,,17,Evan McPherson,K,CIN
Will ReichardK - MIN,DET,2.08,0.0,0.34,0.45,0.45,0.34,7.5,,,,,,,,,,17,Will Reichard,K,MIN
Wil LutzK - DEN,@KC,2.03,0.0,0.39,0.45,0.39,0.34,7.42,,,,,,,,,,17,Wil Lutz,K,DEN
Jake ElliottK - PHI,@BUF,2.36,0.0,0.39,0.45,0.45,0.23,7.38,,,,,,,,,,17,Jake Elliott,K,PHI
Brandon McManusK - GB,BAL,2.03,0.0,0.39,0.45,0.45,0.28,7.3,,,,,,,,,,17,Brandon McManus,K,GB
Younghoe KooK - ATL,LAR,1.86,0.0,0.34,0.45,0.45,0.34,7.28,,,,,,,,,,17,Younghoe Koo,K,ATL
Joshua KartyK - LAR,@ATL,1.91,0.0,0.39,0.45,0.45,0.28,7.18,,,,,,,,,,17,Joshua Karty,K,LAR
Cam LittleK - JAX,@IND,2.08,0.0,0.39,0.45,0.39,0.28,7.17,,,,,,,,,,17,Cam Little,K,JAX
Jake MoodyK - SFView News,CHI,2.36,0.0,0.23,0.51,0.45,0.23,7.08,,,,,,,,,,17,Jake Moody,K,SF
Jason SandersK - MIA,TB,2.03,0.0,0.39,0.45,0.45,0.23,7.05,,,,,,,,,,17,Jason Sanders,K,MIA
Chad RylandK - ARI,@CIN,1.91,0.0,0.34,0.45,0.45,0.28,7.03,,,,,,,,,,17,Chad Ryland,K,ARI
Cairo SantosK - CHI,@SF,1.74,0.0,0.39,0.45,0.51,0.23,6.94,,,,,,,,,,17,Cairo Santos,K,CHI
Jason MyersK - SEA,@CAR,1.86,0.0,0.39,0.45,0.45,0.23,6.88,,,,,,,,,,17,Jason Myers,K,SEA
Blake GrupeK - NO,@TEN,1.74,0.0,0.34,0.45,0.39,0.28,6.68,,,,,,,,,,17,Blake Grupe,K,NO
Blake GrupeK - NO,@TEN,1.74,0.0,0.34,0.45,0.39,0.28,6.68,,,,,,,,,,17,Blake Grupe,K,NO
Spencer ShraderK - INDView News,JAX,1.86,0.0,0.28,0.51,0.51,0.17,6.61,,,,,,,,,,17,Spencer Shrader,K,IND
Matthew WrightK - CAR,SEA,1.8,0.0,0.34,0.51,0.45,0.17,6.55,,,,,,,,,,17,Matthew Wright,K,CAR
Andy BorregalesK - NE,@NYJ,1.97,0.0,0.34,0.45,0.45,0.17,6.54,,,,,,,,,,17,Andy Borregales,K,NE
Joey SlyeK - TEN,NO,1.63,0.0,0.34,0.39,0.39,0.28,6.39,,,,,,,,,,17,Joey Slye,K,TEN
Graham GanoK - NYG,@LV,1.63,0.0,0.34,0.45,0.39,0.23,6.32,,,,,,,,,,17,Graham Gano,K,NYG
Dustin HopkinsK - CLEView News,PIT,1.52,0.0,0.34,0.45,0.39,0.23,6.21,,,,,,,,,,17,Dustin Hopkins,K,CLE
John Parker RomoK - NE,@NYJ,0.47,0.0,0.07,0.13,0.07,0.07,1.63,,,,,,,,,,17,John Parker Romo,K,NE
Ryan FitzgeraldK - CAR,SEA,0.2,0.0,0.05,0.05,0.05,0.05,0.9,,,,,,,,,,17,Ryan Fitzgerald,K,CAR
Caden DavisK - BUF,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Caden Davis,K,BUF
Nick FolkK - NYJ,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Nick Folk,K,NYJ
Jude McAtamneyK - NYG,@LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Jude McAtamney,K,NYG
Harrison MevisK - NYJ,NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Harrison Mevis,K,NYJ
Ben SaulsK - PIT,@CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Ben Sauls,K,PIT
Charlie SmythK - NO,@TEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Charlie Smyth,K,NO
Anders CarlsonK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Anders Carlson,K,
Ryan CoeK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Ryan Coe,K,
Zane GonzalezK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Zane Gonzalez,K,
Alex HaleK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Alex Hale,K,
John HoylandK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,John Hoyland,K,
Greg JosephK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Greg Joseph,K,
Jonathan KimK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Jonathan Kim,K,
Lenny KriegK - ATL,LAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Lenny Krieg,K,ATL
Mark McNameeK - GB,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Mark McNamee,K,GB
Riley PattersonK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,17,Riley Patterson,K,
Brandon AubreyK - DAL,@NYG,2.14,0.0,0.39,0.45,0.51,0.51,8.74,,,,,,,,,,18,Brandon Aubrey,K,DAL
Cameron DickerK - LAC,@DEN,2.19,0.06,0.34,0.51,0.51,0.34,8.15,,,,,,,,,,18,Cameron Dicker,K,LAC
Jake BatesK - DET,@CHI,2.64,0.0,0.28,0.45,0.45,0.34,7.88,,,,,,,,,,18,Jake Bates,K,DET
Harrison ButkerK - KC,@LV,2.42,0.06,0.34,0.45,0.39,0.34,7.84,,,,,,,,,,18,Harrison Butker,K,KC
Ka'imi FairbairnK - HOU,IND,2.08,0.0,0.39,0.51,0.45,0.34,7.83,,,,,,,,,,18,Ka'imi Fairbairn,K,HOU
Chase McLaughlinK - TB,CAR,2.36,0.0,0.34,0.45,0.45,0.34,7.78,,,,,,,,,,18,Chase McLaughlin,K,TB
Chris BoswellK - PIT,BAL,1.91,0.0,0.39,0.51,0.45,0.34,7.66,,,,,,,,,,18,Chris Boswell,K,PIT
Tyler LoopK - BALView News,@PIT,2.53,0.0,0.28,0.51,0.51,0.23,7.58,,,,,,,,,,18,Tyler Loop,K,BAL
Tyler BassK - BUFQ,NYJ,2.7,0.0,0.34,0.45,0.45,0.23,7.57,,,,,,,,,,18,Tyler Bass,K,BUFQ
Matt GayK - WAS,@PHI,2.48,0.0,0.39,0.45,0.39,0.28,7.57,,,,,,,,,,18,Matt Gay,K,WAS
Daniel CarlsonK - LV,KC,1.91,0.0,0.39,0.39,0.45,0.39,7.55,,,,,,,,,,18,Daniel Carlson,K,LV
Evan McPhersonK - CIN,CLE,2.42,0.0,0.34,0.45,0.45,0.28,7.54,,,,,,,,,,18,Evan McPherson,K,CIN
Will ReichardK - MIN,GB,2.08,0.0,0.34,0.45,0.45,0.34,7.5,,,,,,,,,,18,Will Reichard,K,MIN
Wil LutzK - DEN,LAC,2.03,0.0,0.39,0.45,0.39,0.34,7.42,,,,,,,,,,18,Wil Lutz,K,DEN
Jake ElliottK - PHI,WAS,2.36,0.0,0.39,0.45,0.45,0.23,7.38,,,,,,,,,,18,Jake Elliott,K,PHI
Brandon McManusK - GB,@MIN,2.03,0.0,0.39,0.45,0.45,0.28,7.3,,,,,,,,,,18,Brandon McManus,K,GB
Younghoe KooK - ATL,NO,1.86,0.0,0.34,0.45,0.45,0.34,7.28,,,,,,,,,,18,Younghoe Koo,K,ATL
Joshua KartyK - LAR,ARI,1.91,0.0,0.39,0.45,0.45,0.28,7.18,,,,,,,,,,18,Joshua Karty,K,LAR
Cam LittleK - JAX,TEN,2.08,0.0,0.39,0.45,0.39,0.28,7.17,,,,,,,,,,18,Cam Little,K,JAX
Jake MoodyK - SFView News,SEA,2.36,0.0,0.23,0.51,0.45,0.23,7.08,,,,,,,,,,18,Jake Moody,K,SF
Jason SandersK - MIA,@NE,2.03,0.0,0.39,0.45,0.45,0.23,7.05,,,,,,,,,,18,Jason Sanders,K,MIA
Chad RylandK - ARI,@LAR,1.91,0.0,0.34,0.45,0.45,0.28,7.03,,,,,,,,,,18,Chad Ryland,K,ARI
Cairo SantosK - CHI,DET,1.74,0.0,0.39,0.45,0.51,0.23,6.94,,,,,,,,,,18,Cairo Santos,K,CHI
Jason MyersK - SEA,@SF,1.86,0.0,0.39,0.45,0.45,0.23,6.88,,,,,,,,,,18,Jason Myers,K,SEA
Blake GrupeK - NO,@ATL,1.74,0.0,0.34,0.45,0.39,0.28,6.68,,,,,,,,,,18,Blake Grupe,K,NO
Blake GrupeK - NO,@ATL,1.74,0.0,0.34,0.45,0.39,0.28,6.68,,,,,,,,,,18,Blake Grupe,K,NO
Spencer ShraderK - INDView News,@HOU,1.86,0.0,0.28,0.51,0.51,0.17,6.61,,,,,,,,,,18,Spencer Shrader,K,IND
Matthew WrightK - CAR,@TB,1.8,0.0,0.34,0.51,0.45,0.17,6.55,,,,,,,,,,18,Matthew Wright,K,CAR
Andy BorregalesK - NE,MIA,1.97,0.0,0.34,0.45,0.45,0.17,6.54,,,,,,,,,,18,Andy Borregales,K,NE
Joey SlyeK - TEN,@JAX,1.63,0.0,0.34,0.39,0.39,0.28,6.39,,,,,,,,,,18,Joey Slye,K,TEN
Graham GanoK - NYG,DAL,1.63,0.0,0.34,0.45,0.39,0.23,6.32,,,,,,,,,,18,Graham Gano,K,NYG
Dustin HopkinsK - CLEView News,@CIN,1.52,0.0,0.34,0.45,0.39,0.23,6.21,,,,,,,,,,18,Dustin Hopkins,K,CLE
John Parker RomoK - NE,MIA,0.47,0.0,0.07,0.13,0.07,0.07,1.63,,,,,,,,,,18,John Parker Romo,K,NE
Ryan FitzgeraldK - CAR,@TB,0.2,0.0,0.05,0.05,0.05,0.05,0.9,,,,,,,,,,18,Ryan Fitzgerald,K,CAR
Caden DavisK - BUF,NYJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Caden Davis,K,BUF
Nick FolkK - NYJ,@BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Nick Folk,K,NYJ
Jude McAtamneyK - NYG,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Jude McAtamney,K,NYG
Harrison MevisK - NYJ,@BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Harrison Mevis,K,NYJ
Ben SaulsK - PIT,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Ben Sauls,K,PIT
Charlie SmythK - NO,@ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Charlie Smyth,K,NO
Anders CarlsonK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Anders Carlson,K,
Ryan CoeK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Ryan Coe,K,
Zane GonzalezK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Zane Gonzalez,K,
Alex HaleK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Alex Hale,K,
John HoylandK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,John Hoyland,K,
Greg JosephK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Greg Joseph,K,
Jonathan KimK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Jonathan Kim,K,
Lenny KriegK - ATL,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Lenny Krieg,K,ATL
Mark McNameeK - GB,@MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Mark McNamee,K,GB
Riley PattersonK,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,18,Riley Patterson,K,
